ID,ID CALLE,NOMBRE,ID ORIGEN, ID DESTINO,ORIGEN, DESTINO,DISTANCIA KM,VELOCIDAD KM/H,COSTO,COSTO INVERSO,LATITUD ORIGEN,LONGITUD ORIGEN,LATITUD DESTINO,LONGITUD DESTINO
774,4832882,METROPOLITANA,549090057,1296187382,2696,46876,0.1566816,60,0.0026114,1000000,-11.964892,-77.0618814,-11.966277,-77.0616163
775,4832882,METROPOLITANA,1296187382,549090121,46876,13013,1.150339,60,0.0191723,1000000,-11.966277,-77.0616163,-11.976428,-77.0596707
776,4832882,METROPOLITANA,549090121,1295958621,13013,161,0.012191,60,0.0002032,1000000,-11.976428,-77.0596707,-11.9765376,-77.0596737
777,4832882,METROPOLITANA,1295958621,1295958190,161,162,0.0345864,60,0.0005764,1000000,-11.9765376,-77.0596737,-11.9768483,-77.0596886
778,4832890,AV. UNIVERSITARIA,1258298580,1305701554,163,47881,1.1830756,70,0.0169011,1000000,-11.9151397,-77.047991,-11.9248988,-77.0520285
779,4832890,AV. UNIVERSITARIA,1305701554,1305701266,47881,47792,0.0241981,70,0.0003457,1000000,-11.9248988,-77.0520285,-11.9251135,-77.0520648
780,4832890,AV. UNIVERSITARIA,1305701266,1258298854,47792,22085,0.0689766,70,0.0009854,1000000,-11.9251135,-77.0520648,-11.9257255,-77.0521683
781,4832890,AV. UNIVERSITARIA,1258298854,1271067013,22085,22593,0.0133485,70,0.0001907,1000000,-11.9257255,-77.0521683,-11.9258446,-77.0521837
782,4832890,AV. UNIVERSITARIA,1271067013,1305701543,22593,47864,0.0751399,70,0.0010734,1000000,-11.9258446,-77.0521837,-11.9265107,-77.0523
783,4832890,AV. UNIVERSITARIA,1305701543,1305701442,47864,48110,0.0239273,70,0.0003418,1000000,-11.9265107,-77.0523,-11.9267228,-77.0523371
784,4832890,AV. UNIVERSITARIA,1305701442,1305701570,48110,47926,0.2718481,70,0.0038835,1000000,-11.9267228,-77.0523371,-11.9290086,-77.0531786
785,4832890,AV. UNIVERSITARIA,1305701570,1305701494,47926,47988,0.0232957,70,0.0003328,1000000,-11.9290086,-77.0531786,-11.9291937,-77.0532789
786,4832890,AV. UNIVERSITARIA,1305701494,1271066729,47988,22398,0.0896928,70,0.0012813,1000000,-11.9291937,-77.0532789,-11.9299064,-77.053665
787,4832890,AV. UNIVERSITARIA,1271066729,31080516,22398,22407,0.0141116,70,0.0002016,1000000,-11.9299064,-77.053665,-11.9300113,-77.053738
788,4832890,AV. UNIVERSITARIA,31080516,1305701848,22407,47946,0.0773621,70,0.0011052,1000000,-11.9300113,-77.053738,-11.9306252,-77.0540726
789,4832890,AV. UNIVERSITARIA,1305701848,1305701246,47946,47885,0.0242626,70,0.0003466,1000000,-11.9306252,-77.0540726,-11.9308177,-77.0541776
790,4832890,AV. UNIVERSITARIA,1305701246,1272006099,47885,23046,0.0683998,70,0.0009771,1000000,-11.9308177,-77.0541776,-11.9313605,-77.0544734
791,4832890,AV. UNIVERSITARIA,1272006099,1272006450,23046,23061,0.2809694,70,0.0040138,1000000,-11.9313605,-77.0544734,-11.9335791,-77.0557095
792,4832890,AV. UNIVERSITARIA,1272006450,1305702059,23061,47892,0.0335533,70,0.0004793,1000000,-11.9335791,-77.0557095,-11.933844,-77.0558572
793,4832890,AV. UNIVERSITARIA,1305702059,31080517,47892,47972,0.0141259,70,0.0002018,1000000,-11.933844,-77.0558572,-11.9339562,-77.0559181
794,4832890,AV. UNIVERSITARIA,31080517,1305702071,47972,47800,0.011044,70,0.0001578,1000000,-11.9339562,-77.0559181,-11.9340428,-77.0559678
795,4832890,AV. UNIVERSITARIA,1305702071,1305701700,47800,23085,0.0912281,70,0.0013033,1000000,-11.9340428,-77.0559678,-11.9347634,-77.0563687
796,4832890,AV. UNIVERSITARIA,1305701700,1272936268,23085,23015,0.0142526,70,0.0002036,1000000,-11.9347634,-77.0563687,-11.934876,-77.0564313
797,4832890,AV. UNIVERSITARIA,1272936268,1305701431,23015,47999,0.081021,70,0.0011574,1000000,-11.934876,-77.0564313,-11.935516,-77.0567873
798,4832890,AV. UNIVERSITARIA,1305701431,1305701517,47999,48127,0.0268969,70,0.0003842,1000000,-11.935516,-77.0567873,-11.9357284,-77.0569056
799,4832890,AV. UNIVERSITARIA,1305701517,1305701872,48127,47829,0.0444127,70,0.0006345,1000000,-11.9357284,-77.0569056,-11.9360785,-77.0571021
800,4832890,AV. UNIVERSITARIA,1305701872,1305702007,47829,47912,0.6618247,70,0.0094546,1000000,-11.9360785,-77.0571021,-11.9412947,-77.0600283
801,4832890,AV. UNIVERSITARIA,1305702007,1305701551,47912,47928,0.0215355,70,0.0003076,1000000,-11.9412947,-77.0600283,-11.9414716,-77.0601088
802,4832890,AV. UNIVERSITARIA,1305701551,1272936304,47928,23791,0.0536499,70,0.0007664,1000000,-11.9414716,-77.0601088,-11.9419205,-77.0602893
803,4832890,AV. UNIVERSITARIA,1272936304,769223701,23791,2922,0.032942,70,0.0004706,1000000,-11.9419205,-77.0602893,-11.942203,-77.0603805
804,4832890,AV. UNIVERSITARIA,769223701,769223674,2922,2915,0.0141195,70,0.0002017,1000000,-11.942203,-77.0603805,-11.9423207,-77.0604292
805,4832890,AV. UNIVERSITARIA,769223674,1305701493,2915,47824,0.0884367,70,0.0012634,1000000,-11.9423207,-77.0604292,-11.94309,-77.0606328
